Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.23514	-7.33632e-10	0.0559569
2	0.0412063	-8.71264e-10	0.00352887
3	0.00375391	-7.73486e-10	0.000897265
4	0.001035	-3.83594e-10	0.000359075
5	0.00039086	-7.91298e-10	0.000139159
6	0.000153941	-6.64092e-10	5.44826e-05
7	6.1234e-05	-6.55912e-10	2.15227e-05
8	2.44567e-05	-6.88078e-10	8.54597e-06
9	9.7882e-06	-8.72905e-10	3.40332e-06
10	3.92417e-06	-8.90967e-10	1.35763e-06
11	1.56528e-06	-6.56455e-10	5.42099e-07
12	6.36312e-07	-8.39698e-10	2.16574e-07
13	2.56546e-07	-8.72516e-10	8.65507e-08
14	1.03812e-07	-7.41011e-10	3.45971e-08
15	4.74073e-08	-6.88393e-10	1.38331e-08
